organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,newly diagnosed patients-diabetes only,newly diagnosed patients-hypertension only,newly diagnosed patients-dm & htn (both),newly diagnosed patients-oral cancer,newly diagnosed patients-breast cancer_ncd,newly diagnosed patients-cervical cancer,newly diagnosed patients-other cancers,newly diagnosed patients-cvds,newly diagnosed patients-copd,newly diagnosed patients-ckd,newly diagnosed patients-nfald,newly diagnosed patients-stroke,newly diagnosed patients-rheumatoid arthritis
SRjaOfgOdW7,AHMADNAGAR District,INP020011,,1444.0,2136.0,368.0,0.0,0.0,0.0,0.0,6.0,32.0,0.0,0.0,22.0,0.0
y9J7k1pN9OA,Akola Circle,,,3148.0,5267.0,1448.0,44.0,17.0,8.0,13.0,221.0,254.0,74.0,1.0,250.0,11.0
qC8kRmVDTDh,AKOLA District,INP020010,,290.0,528.0,99.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LKmRCfa7kKi,AMRAVATI District,INP020003,,1133.0,1834.0,773.0,9.0,5.0,2.0,4.0,159.0,12.0,0.0,0.0,137.0,11.0
by8LuXBuJEM,Aurangabad Circle,,,1280.0,2494.0,839.0,5.0,2.0,0.0,2.0,106.0,156.0,1.0,9.0,34.0,29.0
xF4hs9euAzp,AURANGABAD District,INP020004,,737.0,1108.0,553.0,1.0,1.0,0.0,0.0,66.0,78.0,1.0,9.0,10.0,29.0
gaOwpAyUNPD,BEED District,INP020005,,2082.0,2559.0,1471.0,3.0,2.0,1.0,4.0,102.0,713.0,143.0,0.0,183.0,32.0
wH9vOL1BtQ6,BHANDARA District,INP020006,,1980.0,5926.0,1152.0,36.0,10.0,4.0,7.0,157.0,129.0,30.0,24.0,135.0,7.0
rV6qE1poSug,BULDHANA District,INP020007,,209.0,324.0,84.0,0.0,0.0,0.0,0.0,0.0,215.0,63.0,0.0,71.0,0.0
v68mENuVO6i,CHANDRAPUR District,INP020012,,289.0,613.0,168.0,10.0,4.0,2.0,1.0,34.0,50.0,16.0,0.0,39.0,113.0
TNVtygx5jFa,DHULE District,INP020009,,688.0,1091.0,243.0,1.0,4.0,1.0,3.0,0.0,132.0,0.0,0.0,7.0,8.0
uO7oaa4xK73,GADCHIROLI District,INP020015,,789.0,1211.0,640.0,8.0,0.0,0.0,0.0,9.0,23.0,13.0,5.0,28.0,25.0
GEt1mNCoczB,GONDIA District,INP020016,,763.0,1357.0,609.0,5.0,0.0,0.0,0.0,6.0,32.0,2.0,1.0,9.0,21.0
QtqEfxUglbW,HINGOLI District,INP020014,,76.0,756.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XkMce0wFkWa,JALGAON District,INP020008,,1054.0,1416.0,859.0,0.0,0.0,0.0,2.0,0.0,84.0,0.0,61.0,0.0,43.0
eugBHYWFNaX,JALNA District,INP020018,,280.0,372.0,87.0,1.0,1.0,0.0,1.0,40.0,76.0,0.0,0.0,23.0,0.0
gypaPwnDJ1I,Kolhapur Circle,,,6946.0,15570.0,5741.0,44.0,17.0,4.0,34.0,233.0,368.0,76.0,18.0,125.0,135.0
mIG6g6JDHb9,KOLHAPUR District,INP020019,,802.0,1912.0,624.0,30.0,1.0,1.0,2.0,24.0,24.0,40.0,0.0,6.0,2.0
GG3gJjxAbfx,Latur Circle,,,5271.0,7628.0,2521.0,7.0,11.0,3.0,9.0,206.0,1263.0,183.0,5.0,256.0,127.0
TqxlKYYICWF,LATUR District,INP020017,,886.0,1217.0,144.0,0.0,3.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0
b3vBdsycgAD,MAHARASHTRA,INP020,,42689.0,78067.0,26376.0,355.0,89.0,55.0,105.0,2018.0,3845.0,1006.0,275.0,1238.0,739.0
