organisationunitname,newly diagnosed patients-diabetes only,newly diagnosed patients-hypertension only,newly diagnosed patients-dm & htn (both),Population,District,Diabetes+Hypertension Prevalence rate,Hypertension Prevalence Rate,Diabetes Prevalence Rate,,,,,,Rank,Diabetes,Hypertension,Diabetes+Hypertension,,,,,,,,
AHMADNAGAR District,15852,20058,4348,"4,543,159.00",AHMADNAGAR District,0.0957043326,0.4414989658,0.3489202117,District,Diabetes+Hypertension Prevalence rate,,,,1,SINDHUDURG District,SINDHUDURG District,SINDHUDURG District,,,,,,,,
AKOLA District,1626,2514,557,"1,813,906.00",AKOLA District,0.03070721416,0.1385959361,0.08964080829,SINDHUDURG District,4.090738433,,,,2,BHANDARA District,BHANDARA District,BHANDARA District,,,,,,,,
AMRAVATI District,9787,16669,7780,"2,888,445.00",AMRAVATI District,0.2693490788,0.5770925186,0.3388328322,BHANDARA District,1.209080139,,,,3,GADCHIROLI District,GADCHIROLI District,GADCHIROLI District,,,,,,,,
AURANGABAD District,6916,8880,3337,"3,701,282.00",AURANGABAD District,0.09015795068,0.239916872,0.1868541765,GADCHIROLI District,0.9754488127,,,,4,NANDURBAR District,GONDIA District,BEED District,,,,,,,,
BEED District,22955,29130,17025,"2,585,049.00",BEED District,0.6585948661,1.12686452,0.8879909046,BEED District,0.6585948661,,,,5,BEED District,NANDURBAR District,GONDIA District,,,,,,,,
BHANDARA District,29985,93336,14513,"1,200,334.00",BHANDARA District,1.209080139,7.775835726,2.498054708,GONDIA District,0.6476336231,,,,6,GONDIA District,PUNE District,PUNE District,,,,,,,,
BULDHANA District,2908,2932,1150,"2,586,258.00",BULDHANA District,0.04446578802,0.1133684265,0.1124404448,PUNE District,0.4409078491,,,,7,PUNE District,BEED District,NANDURBAR District,,,,,,,,
CHANDRAPUR District,4419,8721,1685,"2,204,307.00",CHANDRAPUR District,0.07644125796,0.3956345464,0.2004711685,NANDURBAR District,0.3976229983,,,,8,OSMANABAD District,RATNAGIRI District,NAGPUR District,,,,,,,,
DHULE District,4772,6512,2513,"2,050,862.00",DHULE District,0.1225338419,0.3175250212,0.2326826476,NAGPUR District,0.3874444781,,,,9,PALGHAR District,NANDED District,AMRAVATI District,,,,,,,,
GADCHIROLI District,11763,15508,10466,"1,072,942.00",GADCHIROLI District,0.9754488127,1.445371698,1.096331395,AMRAVATI District,0.2693490788,,,,10,NAGPUR District,NAGPUR District,PALGHAR District,,,,,,,,
